Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
-0.007481,19.599562,-0.007481,0.571699,-0.007481,0,0.000548,,-0.007481,Method Settings,-0.003049,1.A.1,0,1.096018
0.000548,60.513317,0.008577,0.575143,0.072807,0,,,-0.007396,Sample Application,1.996811,1.A.2,0.008029,1.096494
0.008576,45.744789,0.024636,0.575565,0.153096,0,,,99.241832,Column Wash,3.996593,1.A.3,0.016057,1.09697
0.016605,31.678297,0.040694,0.571782,0.233384,0,,,124.400302,Elution,5.996314,1.A.4,0.024086,1.097446
0.024634,19.735264,0.056753,0.568502,0.313673,0,,,228.580806,Equilibration,7.996109,1.A.5,0.032115,1.097921
0.032662,10.538513,0.072811,0.566615,0.393961,0,,,,,9.995789,1.A.6,0.040143,1.098397
0.040691,6.827918,0.088869,0.565937,0.47425,0,,,,,11.995574,1.A.7,0.048172,1.098873
0.04872,5.908636,0.104928,0.565319,0.554538,0,,,,,13.995203,1.A.8,0.056201,1.099349
0.056748,5.415382,0.120986,0.564974,0.634827,0,,,,,15.995061,1.A.9,0.064229,1.099825
0.064777,5.010959,0.137045,0.564718,0.715115,0,,,,,18.003,1.A.10,0.072258,1.100301
0.072806,4.641593,0.153103,0.56464,0.795403,0,,,,,20.002838,1.A.11,0.080287,1.100777
0.080834,4.318925,0.169161,0.564729,0.875692,0,,,,,22.002477,1.A.12,0.088315,1.101221
0.088863,4.030938,0.18522,0.565007,0.95598,0,,,,,24.002353,1.B.1,0.096344,1.101665
0.096892,3.821122,0.201278,0.565341,1.036269,0,,,,,26.001956,1.B.2,0.104373,1.10211
0.10492,3.618934,0.217337,0.565937,1.116557,0,,,,,28.001831,1.B.3,0.112401,1.102554
0.112949,3.434328,0.233395,0.566348,1.196846,0,,,,,30.001466,1.B.4,0.12043,1.102998
0.120978,3.279366,0.249453,0.566643,1.277134,0,,,,,32.001308,1.B.5,0.128459,1.103443
0.129006,3.144357,0.265512,0.566975,1.357423,0,,,,,34.000938,1.B.6,0.136487,1.103887
0.137035,3.009648,0.28157,0.567249,1.437711,0,,,,,36.000774,1.B.7,0.144516,1.104331
0.145064,2.895119,0.297629,0.567518,1.518,0,,,,,38.008712,1.B.8,0.152545,1.104775
0.153092,2.79325,0.313687,0.567759,1.598288,0,,,,,40.00856,1.B.9,0.160573,1.10522
0.161121,2.683339,0.329746,0.567933,1.678576,0,,,,,42.008197,1.B.10,0.168602,1.105724
0.16915,2.594147,0.345804,0.568049,1.758865,0,,,,,44.00801,1.B.11,0.176631,1.106228
0.177178,2.510289,0.361862,0.568083,1.839153,0,,,,,46.007682,1.B.12,0.184659,1.106732
0.185207,2.438597,0.377921,0.568104,1.919442,0,,,,,48.007518,1.C.1,0.192688,1.107236
0.193236,2.406757,0.393979,0.56807,1.99973,0,,,,,50.007148,1.C.2,0.200717,1.107739
0.201264,2.384257,0.410038,0.568014,2.080019,0,,,,,52.006946,1.C.3,0.208745,1.108243
0.209293,2.303652,0.426096,0.567929,2.160307,0,,,,,54.006702,1.C.4,0.216774,1.108747
0.217322,2.237799,0.442154,0.56785,2.240596,0,,,,,56.006496,1.C.5,0.224803,1.109251
0.22535,2.17651,0.458213,0.56779,2.320884,0,,,,,58.014488,1.C.6,0.232831,1.109755
0.233379,2.120375,0.474271,0.567704,2.401173,0,,,,,60.014274,1.C.7,0.24086,1.110259
0.241408,2.069781,0.49033,0.567623,2.481461,0,,,,,62.01395,1.C.8,0.248889,1.110752
0.249436,2.015208,0.506388,0.567531,2.561749,0,,,,,64.013752,1.C.9,0.256917,1.111245
0.257465,1.963149,0.522446,0.567433,2.642038,0,,,,,66.013439,1.C.10,0.264946,1.111738
0.265494,1.91358,0.538505,0.567468,2.722326,0,,,,,68.013217,1.C.11,0.272975,1.112231
0.273522,1.865342,0.554563,0.567526,2.802615,0,,,,,70.012943,1.C.12,0.281003,1.112724
